_id,name,brandid
047,Hit Aerosol,01
099,Common,04
301,Hit Liquid,01
302,Hit Mat,01
303,Hit Nonstop,01
304,Hit Kapur Semut & Kecoa,01
305,Hit Magic Paper,01
306,Hit Others,01
307,Stella Solid,03
308,Stella Aerosol,03
309,Stella Matic,03
310,Stella Liquid,03
311,Stella Perfume,03
312,Stella Finesse,03
313,Stella Kids,03
314,Fogo,04
315,Mitu Baby Tissue,02
316,Mitu Kids Tissue,02
317,Mitu Wetties Tissue,02
318,Mitu Baby Sabun - 2 in 1,02
319,Mitu Baby Sabun - Milk Bath,02
320,Mitu Baby Colone,02
321,Mitu Baby Pack,02
322,Mitu Baby Powder,02
323,Polytex  Scourer,04
324,Scourer,04
325,Mitu Baby Shampoo,02
326,Polytex Sponge Scourer,04
327,Sponge Scourer,04
328,Private Label Sponge,04
329,Polytex Spon / Cloth,04
330,Polytex Stainless,04
331,Stainless,04
332,Private label Stainless,04
333,Proclin,04
334,Biosol,04
335,Polytex Tissue,04
336,Cap Gajah,04
337,Klinpak,04
338,Clingwrap,04
339,Carrera-Car,04
340,Carrera-Car Freshner,04
341,Carrera-Motor Bike,04
342,Autosol Polish,04
343,Wonder Fuel,04
344,Shock Anti Sumbat,04
345,Pro Emulsion,04
346,Simba Cereal,04
347,Simba Instant Food,04
348,Risotto Instant Food,04
349,Rizzi Bizzi Snack,04
352,Turbo Puff Snack,04
353,Ex-Insecticides,04
353,Carrera-Tissues,04
354,Ex-Freshners,04
355,Ex-Baby Care,04
356,Ex-Fly Catcher,04
357,Export Scourers & Sponges,04
360,Cap Hit,04
361,Cap Stella,04
362,Cap Wet Tissue,04
363,Cap Stella Matic Trans,04
364,Cap Mitu,04
365,Bottle Tissue,04
366,Bottle Baby Care,04
367,Bottle Proclin,04
368,Housing Hit,04
369,Housing Stella,04
370,Carrera-Aerosol,04
371,Carrera-Tissues,04
372,Mitu Baby Oil,04
373,GT Promo Pack,04
374,Hair Color,04
